Row.names	betahat	sebetahat	WaldP	WaldPadj	PosteriorMean	lfsr	lfdr	qvalue	baseMean	log2FoldChange	lfcSE	pvalue	padj	groupID	labels
ENSG00000086065.14:O001	-21.4579532638639	20641.840765276	0.999170569779761	0.999997263596305	-4.75729810687108e-08	0.782626571618367	0.565253170383898	0.190964381659375	476.885614110408	0.753333450754551	0.287512742532676	0.00415171421997243	0.0265739920056967	ENSG00000086065.14	mORF
ENSG00000086232.13:O001	-0.369241505069542	0.0917663731125701	5.72878390250331e-05	0.000307728594762847	-0.366214850913096	0.00822535913070754	0.00819695000397118	0.000835729538705073	1465.48760147004	1.03259017839923	0.192595450023484	2.64688205079589e-08	4.68338397349876e-07	ENSG00000086232.13	mORF
ENSG00000087502.19:O002	-2.02998137425462	0.279185369111372	3.566036355096e-13	5.66999780460264e-12	-1.93264404317316	3.82399667486766e-11	3.80099929711299e-11	1.92049219454667e-12	136.378966103255	1.07366156307399	0.479670730256717	0.00562806006151407	0.0345683589314443	ENSG00000087502.19	uORF
ENSG00000087884.16:O003	-0.913292290211811	0.137113820001097	2.7227997634327e-11	3.60770968654833e-10	-0.913292286365862	4.2246953713132e-09	4.21108136057021e-09	1.95346714475166e-10	448.394490587817	0.961829385761739	1.17846998973972	0.039073330940309	0.174369099664114	ENSG00000087884.16	mORF
ENSG00000088682.14:O001	-1.44624757121807	0.959182536110351	0.131607819210837	0.266229557945587	-0.569867436431503	0.54429008794521	0.504420596588891	0.126770387243745	470.227485696209	0.420313629207257	0.239024297721872	0.0600453202523896	0.241667194334844	ENSG00000088682.14	mORF
ENSG00000089220.5:O001	-1.48460152317799	0.539859686641788	0.00595995146856776	0.0204672199460534	-1.26153986116959	0.104964128705929	0.102067142436676	0.0115670136845524	1693.00333777317	1.50866243841319	0.167417192829286	3.5102885168773e-20	2.7829959067818e-18	ENSG00000089220.5	mORF
ENSG00000096384.20:O005	0.970493200095833	0.494158464915438	0.0495380773723126	0.11934173185148	0.554937034986131	0.43810668460611	0.423756644358566	0.0954108847159583	29.3667053667814	0.0849662413585681	0.58252047694597	0.77349375598296	0.941582278856046	ENSG00000096384.20	dORF
ENSG00000099783.13:O001	-0.11557852494623	0.598327541668215	0.846826364520071	0.999997263596305	-0.0226831469553748	0.886508530666712	0.803145752939224	0.384781621963215	3059.16025000867	-1.0658661865004	0.202913503374868	4.49716311177461e-08	7.67425825240245e-07	ENSG00000099783.13	mORF
ENSG00000099995.19:O026	-1.92866395058582	0.382099186353857	4.47516563362171e-07	3.53622383161201e-06	-1.80831609423496	2.40503515477331e-05	2.37718308033035e-05	1.39820683068469e-06	126.212650442406	3.18488577673516	0.653438776321732	6.98927785647724e-08	1.1501954138421e-06	NA	NA
ENSG00000099999.15:O011	0.940886510682265	0.821625148548577	0.252145780331042	0.434828406427719	0.320711706261701	0.673682770816337	0.623652899818563	0.272927511405965	57.5141532433045	-3.42619760879829	1.52938447057078	0.000697220177879489	0.00545044423862838	NA	NA
ENSG00000100350.16:O016	1.742479588053	0.944246022810208	0.064984302935275	0.149746437198677	0.810301060981951	0.422633216553036	0.39583539081074	0.0798710064707555	35.3757556569371	-0.787920154181415	0.986956125768887	0.0843403468926282	0.31153310497382	ENSG00000100350.16	dORF
ENSG00000100350.16:O017	0.238631084270228	0.292055042489645	0.413885157064742	0.619075634744064	0.0336222186361797	0.888261204113095	0.859103776268332	0.408977828009584	545.675736185114	0.32271455809037	0.227270503441095	0.130336062648163	0.420841272027301	ENSG00000100350.16	mORF
ENSG00000100418.8:O020	0.426044110461086	0.519803242513147	0.412429502825475	0.618644254238212	0.0962807301037093	0.820409630184923	0.773738549885925	0.366580343005765	713.713534973934	-0.851121309205683	0.203958213279323	1.20361012157208e-05	0.000135529948008169	ENSG00000100418.8	mORF
ENSG00000100575.14:O009	0.0520113025813457	0.481455441858176	0.913972436636538	0.999997263596305	0.00847777459727081	0.9114812567506	0.836985918119092	0.400781535510951	13.0678752811998	0.0854304984549079	0.610917702108688	0.749960731694164	0.93451743038277	NA	NA
