,estimates,se,posterior,t.statistic,pval,empirical.pval,empirical.fdr
ENSG00000014824.14:O002,-2.34539393254332,0.200629852903292,11.7948718842823,-11.6901542746675,7.68425656865754e-08,0.00028883439601871,0.0300263469336677
ENSG00000018408.15:O036,-2.17431421257097,0.142715017662173,11.7948718842823,-15.2353567843707,4.05296770167105e-09,8.0725466600037e-05,0.0179501348092008
ENSG00000023041.12:O024,-1.54438217329214,0.102988001466362,11.7948718842823,-14.9957485464612,4.84479562252098e-09,8.71831552940902e-05,0.0180247445523638
ENSG00000023734.11:O002,-1.36044394142596,0.127627210941107,11.7948718842823,-10.6595132134771,2.09114720263501e-07,0.000447135469097775,0.0386653376659428
ENSG00000029363.17:O048,-2.62402171674507,0.179762646960501,11.7948718842823,-14.5971466325907,6.55736448851498e-09,9.93490316790484e-05,0.0190197611449729
ENSG00000029364.12:O003,-1.78894621714983,0.183732689293929,11.7948718842823,-9.73667899830242,5.49851167727711e-07,0.000683149347386336,0.0455383676040656
ENSG00000029725.17:O002,-1.03289987145721,0.05876879145434,11.7948718842823,-17.5756527554206,8.02671065205509e-10,4.02308829639293e-05,0.0151606906327228
ENSG00000032389.13:O004,-3.38942450599302,0.321630077034067,11.7948718842823,-10.5382697328832,2.36490061538829e-07,0.000471865176277888,0.0396810899858147
ENSG00000033800.14:O001,-1.32231374902938,0.110867178565314,11.7948718842823,-11.9270082105533,6.17010518537142e-08,0.000262512007769034,0.0289167073173274
ENSG00000034510.6:O003,-2.47657933255006,0.213136784881668,11.7948718842823,-11.619671066752,8.20885602898067e-08,0.000297265334501295,0.0303892220036182
ENSG00000035928.17:O012,-3.02143739613234,0.217873611758752,11.7948718842823,-13.8678446267184,1.16372989892325e-08,0.000127300406742563,0.0220203687109863
ENSG00000036549.13:O031,-1.39036084724144,0.136028440267856,11.7948718842823,-10.2211040904656,3.28097914532043e-07,0.000544628099734696,0.0423862738489177
ENSG00000038295.8:O003,-2.60083929970743,0.221575190453759,11.7948718842823,-11.7379535785628,7.34912040130259e-08,0.000283278349339852,0.029827543842255
ENSG00000038382.23:O003,-2.46341722596831,0.186683308889623,11.7948718842823,-13.1957015365783,2.02319656296224e-08,0.000161745248440582,0.0230229832000494
ENSG00000043143.22:O005,-2.03360807072755,0.125590309572509,11.7948718842823,-16.1923963532669,2.03666201049529e-09,6.00210365572216e-05,0.0160354709608099
ENSG00000047644.20:O003,-3.09412198269921,0.304227069443563,11.7948718842823,-10.1704361428403,3.4598012561257e-07,0.000557447766571957,0.0427134745129022
